MG,YE,MK,MP,HP,Classid,Childid
24,30,-1.39,5.5,5.8,110,233
101,30,-1.39,5.5,5.8,110,234
31,30,-1.39,5.5,5.8,110,235
51,30,-1.39,5.5,5.8,110,236
57,2,-0.17,1.75,5.8,170,237
79,2,-0.17,1.75,5.8,170,238
72,19,-1.84,3.33,53.2,30,239
29,19,-1.84,3.33,53.2,30,240
47,19,-1.84,3.33,53.2,30,241
68,19,-1.84,3.33,53.2,30,242
67,5,-0.5,2.5,53.2,94,243
41,5,-0.5,2.5,53.2,94,244
63,5,-0.5,2.5,53.2,94,245
97,5,-0.5,2.5,53.2,94,246
67,5,-0.5,2.5,53.2,94,247
43,5,-0.5,2.5,53.2,94,248
68,6,-0.84,2.25,53.2,101,249
79,6,-0.84,2.25,53.2,101,250
36,8,-0.12,3.75,18.7,6,251
23,8,-0.12,3.75,18.7,6,252
34,8,-0.12,3.75,18.7,6,253
44,8,-0.12,3.75,18.7,6,254
60,8,-0.12,3.75,18.7,6,255
86,14,-0.17,3.17,18.7,130,256
24,14,-0.17,3.17,18.7,130,257
73,14,-0.17,3.17,18.7,130,258
75,14,-0.17,3.17,18.7,130,259
46,12,-0.13,4.5,18.7,158,260
87,12,-0.13,4.5,18.7,158,261
49,12,-0.13,4.5,18.7,158,262
67,12,-0.13,4.5,18.7,158,263
91,12,-0.13,4.5,18.7,158,264
28,12,-0.13,4.5,18.7,158,265
102,12,-0.13,4.5,18.7,158,266
39,12,-0.13,4.5,18.7,158,267
46,0,-0.72,2,43.8,159,268
48,0,-0.72,2,43.8,159,269
39,0,-0.72,2,43.8,159,270
25,0,-0.72,2,43.8,159,271
82,14,-0.76,2.25,28.2,43,272
34,14,-0.76,2.25,28.2,43,273
43,14,-0.76,2.25,28.2,43,274
117,3,0.12,2,28.2,47,275
74,21,0.55,2.25,28.2,163,276
30,27,-1.02,2.25,26.3,55,277
-2,27,-1.02,2.25,26.3,55,278
65,27,-1.02,2.25,26.3,55,279
30,27,-1.02,2.25,26.3,55,280
0,27,-1.02,2.25,26.3,55,281
-16,31,-1.68,3,26.3,77,282
106,5,0.72,2.25,26.3,93,283
88,9,-0.79,2.5,26.3,150,284
38,15,-0.77,2.17,30.9,97,285
27,15,-0.77,2.17,30.9,97,286
59,6,0.93,2,30.9,297,287
-6,6,0.93,2,30.9,297,288
34,6,0.93,2,30.9,297,289
7,6,0.93,2,30.9,297,290
39,6,0.93,2,30.9,297,291
97,4,0.61,2.25,56.4,78,292
56,4,0.61,2.25,56.4,78,293
56,4,0.61,2.25,56.4,78,294
43,4,0.61,2.25,56.4,78,295
71,4,0.61,2.25,56.4,78,296
42,4,0.61,2.25,56.4,78,297
88,4,0.61,2.25,56.4,78,298
86,4,0.61,2.25,56.4,78,299
41,13,1.31,4.75,56.4,102,300
43,13,1.31,4.75,56.4,102,301
78,13,1.31,4.75,56.4,102,302
65,0,0.59,2,56.4,139,303
-2,0,0.59,2,56.4,139,304
41,0,0.59,2,56.4,139,305
64,0,0.59,2,56.4,139,306
30,9,0.43,3,5,104,307
48,9,0.43,3,5,104,308
44,9,0.43,3,5,104,309
25,9,0.43,3,5,104,310
69,9,0.43,3,5,104,311
138,9,0.43,3,5,104,312
81,6,0.15,2.17,5,190,313
41,6,0.15,2.17,5,190,314
54,6,0.15,2.17,5,190,315
88,6,0.15,2.17,5,190,316
56,6,0.15,2.17,5,190,317
82,6,0.15,2.17,5,190,318
78,6,0.15,2.17,5,190,319
19,6,0.15,2.17,5,190,320
24,12,0.01,1,5,230,321
3,12,0.01,1,5,230,322
42,3,-0.59,2,5,262,323
67,3,-0.59,2,5,262,324
76,3,-0.59,2,5,262,325
54,3,-0.59,2,5,262,326
113,3,-0.59,2,5,262,327
-5,26,-0.92,2,21.4,114,328
33,26,-0.92,2,21.4,114,329
47,26,-0.92,2,21.4,114,330
50,26,-0.92,2,21.4,114,331
71,5,-0.72,2,21.4,118,332
11,27,0.74,3,21.4,202,333
2,27,0.74,3,21.4,202,334
10,27,0.74,3,21.4,202,335
49,15,-0.6,1,21.4,203,336
197,15,-0.6,1,21.4,203,337
39,19,0.46,3.75,10.2,115,338
89,19,0.46,3.75,10.2,115,339
56,19,0.46,3.75,10.2,115,340
34,19,0.46,3.75,10.2,115,341
17,10,0.28,2,10.2,223,342
87,10,0.28,2,10.2,223,343
-7,10,0.28,2,10.2,223,344
42,10,0.28,2,10.2,223,345
13,2,0.34,2,8.5,175,346
29,2,0.34,2,8.5,175,347
41,2,0.34,2,8.5,175,348
94,8,-0.72,2,1.2,156,355
31,8,-0.72,2,1.2,156,356
55,8,-0.72,2,1.2,156,357
14,8,-0.72,2,1.2,156,358
43,8,-0.72,2,1.2,156,359
70,8,-0.72,2,1.2,156,360
76,12,1.18,5.25,1.2,234,361
25,12,1.18,5.25,1.2,234,362
45,12,1.18,5.25,1.2,234,363
44,12,1.18,5.25,1.2,234,364
163,12,1.18,5.25,1.2,234,365
97,12,1.18,5.25,1.2,234,366
84,12,1.18,5.25,1.2,234,367
-20,20,-1.21,2,1.2,258,368
13,20,-1.21,2,1.2,258,369
7,20,-1.21,2,1.2,258,370
100,9,0.12,2,26.1,191,371
61,18,-0.83,2.25,26.1,204,372
3,18,-0.83,2.25,26.1,204,373
92,24,-0.24,2,26.1,252,374
32,24,-0.24,2,26.1,252,375
68,24,-0.24,2,26.1,252,376
56,24,-0.24,2,26.1,252,377
74,24,-0.24,2,26.1,252,378
-12,24,-0.24,2,26.1,252,379
65,19,-0.45,4.5,4.7,26,380
49,19,-0.45,4.5,4.7,26,381
47,19,-0.45,4.5,4.7,26,382
94,19,-0.45,4.5,4.7,26,383
102,19,-0.45,4.5,4.7,26,384
103,19,-0.45,4.5,4.7,26,385
32,19,-0.45,4.5,4.7,26,386
100,19,-0.45,4.5,4.7,26,387
53,19,-0.45,4.5,4.7,26,388
96,19,-0.45,4.5,4.7,26,389
27,2,-0.72,5.5,4.7,88,394
16,2,-0.72,5.5,4.7,88,395
39,19,0.12,4,4.7,100,396
62,3,1.05,2.75,4.7,229,397
118,3,1.05,2.75,4.7,229,398
137,3,1.05,2.75,4.7,229,399
58,3,1.05,2.75,4.7,229,400
57,3,1.05,2.75,4.7,229,401
60,2,0.58,3,30.3,2,402
52,2,0.58,3,30.3,2,403
85,2,0.58,3,30.3,2,404
56,7,0.5,4.17,30.3,188,405
41,7,0.5,4.17,30.3,188,406
73,7,0.5,4.17,30.3,188,407
-12,7,0.5,4.17,30.3,188,408
44,3,0.71,5,13,56,409
10,3,0.71,5,13,56,410
-7,3,0.71,5,13,56,411
48,3,0.71,5,13,56,412
55,3,0.71,5,13,56,413
53,10,1.86,2,13,122,414
8,10,1.86,2,13,122,415
54,10,1.86,2,13,122,416
7,10,1.86,2,13,122,417
26,10,1.86,2,13,122,418
34,10,1.86,2,13,122,419
31,1,-0.12,3,8.8,63,420
80,1,-0.12,3,8.8,63,421
77,14,0.48,1.5,8.8,180,422
60,14,0.48,1.5,8.8,180,423
88,14,0.48,1.5,8.8,180,424
76,14,0.48,1.5,8.8,180,425
88,14,0.48,1.5,8.8,180,426
76,14,0.48,1.5,8.8,180,427
37,9,-1.53,2,24.9,103,428
5,9,-1.53,2,24.9,103,429
18,9,-1.53,2,24.9,103,430
136,28,-0.28,3,24.9,125,431
65,28,-0.28,3,24.9,125,432
53,28,-0.28,3,24.9,125,433
48,28,-0.28,3,24.9,125,434
74,1,1.13,2,24.9,210,435
80,1,1.13,2,24.9,210,436
6,1,1.13,2,24.9,210,437
39,5,-1.14,1.5,24.9,249,438
10,2,-0.52,2.5,17,16,439
61,2,-0.52,2.5,17,16,440
32,2,-0.52,2.5,17,16,441
77,2,-0.52,2.5,17,16,442
57,2,-0.52,2.5,17,16,443
99,2,-0.52,2.5,17,16,444
-34,2,-0.76,1.5,12.3,79,448
28,2,-0.76,1.5,12.3,79,449
74,2,-0.76,1.5,12.3,79,450
-22,2,-0.76,1.5,12.3,79,451
45,2,-0.76,1.5,12.3,79,452
21,2,-0.36,1.75,12.3,198,453
0,2,-0.36,1.75,12.3,198,454
-11,7,-1.09,2.75,12.3,288,456
85,7,-1.09,2.75,12.3,288,457
52,7,-1.09,2.75,12.3,288,458
41,7,-1.09,2.75,12.3,288,459
16,1,-1.09,1.5,27.9,9,460
8,1,-1.09,1.5,27.9,9,461
-51,1,-1.09,1.5,27.9,9,462
87,6,-1.04,2.5,27.9,257,463
64,6,-1.04,2.5,27.9,257,464
24,6,-1.04,2.5,27.9,257,465
85,6,-1.04,2.5,27.9,257,466
65,28,-0.1,2.83,3.6,18,467
91,29,-0.35,5.25,3.6,50,468
58,29,-0.35,5.25,3.6,50,469
77,29,-0.35,5.25,3.6,50,470
0,29,-0.35,5.25,3.6,50,471
88,11,-0.68,2.25,3.6,142,472
70,11,-0.68,2.25,3.6,142,473
103,11,-0.68,2.25,3.6,142,474
67,11,-0.68,2.25,3.6,142,475
76,0,-1.28,2,15.7,54,476
33,0,-1.28,2,15.7,54,477
48,0,-1.28,2,15.7,54,478
59,0,-1.28,2,15.7,54,479
50,20,1.65,2.75,15.7,70,480
77,6,0.27,3,15.7,207,481
33,6,0.27,3,15.7,207,482
40,6,0.27,3,15.7,207,483
55,6,0.27,3,15.7,207,484
47,6,0.27,3,15.7,207,485
62,6,0.27,3,15.7,207,486
74,14,0.61,2.5,15.7,296,487
39,14,0.61,2.5,15.7,296,488
99,14,0.61,2.5,15.7,296,489
59,14,0.61,2.5,15.7,296,490
54,14,0.61,2.5,15.7,296,491
91,14,0.61,2.5,15.7,296,492
67,14,0.61,2.5,15.7,296,493
25,2,0.92,2.25,17.9,220,494
70,2,0.92,2.25,17.9,220,495
37,1,2.61,2.25,17.9,227,496
90,1,2.61,2.25,17.9,227,497
65,20,1.94,2.5,34.7,176,498
86,20,1.94,2.5,34.7,176,499
79,20,1.94,2.5,34.7,176,500
71,20,1.94,2.5,34.7,176,501
36,4,1.31,2,34.7,219,502
98,4,1.31,2,34.7,219,503
68,4,1.31,2,34.7,219,504
34,4,1.31,2,34.7,219,505
126,21,1.47,2.24,34.7,246,506
25,21,1.47,2.24,34.7,246,507
70,21,1.47,2.24,34.7,246,508
115,21,1.47,2.24,34.7,246,509
-3,11,-0.61,2,34.7,268,510
80,11,-0.61,2,34.7,268,511
97,11,-0.61,2,34.7,268,512
67,11,-0.61,2,34.7,268,513
59,11,-0.61,2,34.7,268,514
8,25,0.64,3.25,16.4,300,515
87,25,0.64,3.25,16.4,300,516
71,25,0.64,3.25,16.4,300,517
90,25,0.64,3.25,16.4,300,518
77,25,0.64,3.25,16.4,300,519
97,10,1.89,2,23.8,19,520
62,10,1.89,2,23.8,19,521
39,11,0.03,2.67,23.8,69,522
28,11,0.03,2.67,23.8,69,523
47,11,0.03,2.67,23.8,69,524
72,22,1.13,1.75,23.8,71,525
85,22,1.13,1.75,23.8,71,526
16,18,-1.44,3.17,23.8,240,530
34,18,-1.44,3.17,23.8,240,531
71,18,-1.44,3.17,23.8,240,532
88,2,-0.78,2.5,25.7,61,533
14,2,-0.78,2.5,25.7,61,534
91,25,1.57,3.17,25.7,82,535
57,25,1.57,3.17,25.7,82,536
7,25,1.57,3.17,25.7,82,537
54,25,1.57,3.17,25.7,82,538
253,25,1.57,3.17,25.7,82,539
70,2,1.12,2,25.7,155,540
52,2,1.12,2,25.7,155,541
52,2,1.12,2,25.7,155,542
80,20,-1.73,2.25,14.2,105,549
144,20,-1.73,2.25,14.2,105,550
48,20,-1.73,2.25,14.2,105,551
142,20,-1.73,2.25,14.2,105,552
3,6,-0.72,3.5,14.2,212,553
77,6,-0.72,3.5,14.2,212,554
66,6,-0.72,3.5,14.2,212,555
92,6,-0.72,3.5,14.2,212,556
2,6,-0.78,2,4.4,25,557
70,6,-0.78,2,4.4,25,558
63,6,-0.78,2,4.4,25,559
13,6,-0.78,2,4.4,25,560
46,18,-1.33,2,4.4,127,561
85,18,-1.33,2,4.4,127,562
31,18,-1.33,2,4.4,127,563
20,7,0.92,2,4.4,289,564
26,7,0.92,2,4.4,289,565
95,7,0.92,2,4.4,289,566
26,7,0.92,2,4.4,289,567
50,7,0.92,2,4.4,289,568
62,15,0.8,2,9.6,59,569
84,15,0.8,2,9.6,59,570
35,15,0.8,2,9.6,59,571
45,15,0.8,2,9.6,59,572
48,7,1.91,1.67,13.8,255,573
65,7,1.91,1.67,13.8,255,574
43,7,1.91,1.67,13.8,255,575
32,7,1.91,1.67,13.8,255,576
49,7,1.91,1.67,13.8,255,577
61,7,1.91,1.67,13.8,255,578
35,30,-0.61,3,13.8,270,579
30,30,-0.61,3,13.8,270,580
15,30,-0.61,3,13.8,270,581
47,27,0.47,2,10.1,14,582
65,27,0.47,2,10.1,14,583
112,27,0.47,2,10.1,14,584
142,27,0.47,2,10.1,14,585
14,32,0.22,2.5,10.1,149,586
46,32,0.22,2.5,10.1,149,587
61,32,0.22,2.5,10.1,149,588
91,32,0.22,2.5,10.1,149,589
48,5,1.97,2,13.7,259,590
29,5,1.97,2,13.7,259,591
31,5,1.97,2,13.7,259,592
60,5,1.97,2,13.7,259,593
54,5,1.97,2,13.7,259,594
23,5,1.97,2,13.7,259,595
5,5,1.97,2,13.7,259,596
32,5,1.97,2,13.7,259,597
16,2,1.61,2,13.7,301,598
64,2,1.61,2,13.7,301,599
20,20,-0.19,2.5,6.5,24,600
6,24,-0.27,2.25,6.5,35,601
55,24,-0.27,2.25,6.5,35,602
113,24,-0.27,2.25,6.5,35,603
67,24,-0.27,2.25,6.5,35,604
62,2,-0.76,4,6.5,117,605
59,2,-0.76,4,6.5,117,606
46,2,-0.76,4,6.5,117,607
36,2,-0.76,4,6.5,117,608
18,2,-0.76,4,6.5,117,609
54,2,-0.76,4,6.5,117,610
76,2,-0.76,4,6.5,117,611
84,2,-0.76,4,6.5,117,612
-4,13,0.85,2.75,4,3,613
18,13,0.85,2.75,4,3,614
33,13,0.85,2.75,4,3,615
122,13,0.24,3,4,168,616
53,13,0.24,3,4,168,617
77,13,0.24,3,4,168,618
26,13,0.24,3,4,168,619
55,13,0.24,3,4,168,620
85,13,0.24,3,4,168,621
56,13,0.24,3,4,168,622
89,33,-0.26,3,28.9,36,623
132,9,0.65,3.5,28.9,40,624
127,9,0.65,3.5,28.9,40,625
22,9,0.65,3.5,28.9,40,626
69,19,0.57,2.5,28.9,171,627
39,22,-0.41,3,28.9,250,628
52,22,-0.41,3,28.9,250,629
34,1,0.89,2.5,28.9,272,630
6,5,-1.28,1.5,36.2,34,636
41,8,0.02,1,36.2,108,637
54,8,0.02,1,36.2,108,638
79,8,0.02,1,36.2,108,639
102,5,0.47,1,24.3,121,640
122,5,0.47,1,24.3,121,641
72,5,0.47,1,24.3,121,642
36,5,0.47,1,24.3,121,643
118,5,0.47,1,24.3,121,644
79,5,0.47,1,24.3,121,645
59,5,-1.43,2,24.3,242,646
78,5,-1.43,2,24.3,242,647
74,5,-1.43,2,24.3,242,648
79,5,-1.43,2,24.3,242,649
24,5,-1.43,2,24.3,242,650
23,5,-1.43,2,24.3,242,651
94,5,-1.43,2,24.3,242,652
35,2,-0.72,2.5,33.5,1,653
109,2,-0.72,2.5,33.5,1,654
66,2,-0.72,2.5,33.5,1,655
19,2,-0.72,2.5,33.5,1,656
10,2,-0.72,2.5,33.5,1,657
52,1,-0.72,2,33.5,124,658
15,0,0.89,2,33.5,192,659
37,0,0.89,2,33.5,192,660
22,4,0.84,4.25,33.5,267,661
50,4,0.84,4.25,33.5,267,662
62,4,0.84,4.25,33.5,267,663
-84,13,0.89,2.74,17,22,664
179,13,0.89,2.74,17,22,665
11,13,0.89,2.74,17,22,666
65,13,0.89,2.74,17,22,667
78,13,0.89,2.74,17,22,668
41,13,0.89,2.74,17,22,669
55,13,0.89,2.74,17,22,670
57,13,0.89,2.74,17,22,671
37,32,0.89,2.3,17,46,672
61,32,0.89,2.3,17,46,673
23,32,0.89,2.3,17,46,674
112,32,0.89,2.3,17,46,675
67,32,0.89,2.3,17,46,676
17,24,0.96,2,7.2,310,677
84,24,0.96,2,7.2,310,678
64,24,0.96,2,7.2,310,679
76,8,-0.42,3.5,18,38,680
77,8,-0.42,3.5,18,38,681
49,8,-0.42,3.5,18,38,682
79,8,-0.42,3.5,18,38,683
97,8,-0.42,3.5,18,38,684
40,8,-0.42,3.5,18,38,685
67,8,-0.42,3.5,18,38,686
32,4,-0.51,2,18,294,687
95,4,-0.51,2,18,294,688
62,4,-0.51,2,18,294,689
17,40,-1.36,5,5,95,690
25,40,-1.36,5,5,95,691
52,3,0.89,2.5,5,128,692
88,3,0.89,2.5,5,128,693
76,3,0.89,2.5,5,128,694
69,3,0.89,2.5,5,128,695
23,2,-1.07,3.75,5,284,696
65,2,-1.07,3.75,5,284,697
92,2,-1.07,3.75,5,284,698
64,29,-0.54,2.17,50.9,91,699
56,29,-0.54,2.17,50.9,91,700
84,29,-0.54,2.17,50.9,91,701
53,29,-0.54,2.17,50.9,91,702
61,16,0,2.75,50.9,218,703
38,16,0,2.75,50.9,218,704
57,29,0.75,3,50.9,269,705
66,29,0.75,3,50.9,269,706
102,5,1.08,5.33,33.9,4,707
86,5,1.08,5.33,33.9,4,708
66,5,1.08,5.33,33.9,4,709
106,5,1.08,5.33,33.9,4,710
79,5,1.08,5.33,33.9,4,711
110,5,1.08,5.33,33.9,4,712
107,17,-1.02,3.5,33.9,73,713
55,17,-1.02,3.5,33.9,73,714
82,17,-1.02,3.5,33.9,73,715
32,18,-0.66,1,33.9,245,716
57,18,-0.66,1,33.9,245,717
79,18,-0.66,1,33.9,245,718
36,23,0.04,1.5,20.9,57,719
44,23,0.04,1.5,20.9,57,720
39,23,0.04,1.5,20.9,57,721
86,23,0.04,1.5,20.9,57,722
214,16,-0.07,6,20.9,244,723
75,7,-0.75,2,20.9,263,724
29,7,-0.75,2,20.9,263,725
71,7,-0.75,2,20.9,263,726
29,23,-1.06,3.17,20.9,271,727
91,23,-1.06,3.17,20.9,271,728
93,23,-1.06,3.17,20.9,271,729
128,26,-0.71,1.67,20.9,298,730
52,26,-0.71,1.67,20.9,298,731
59,26,-0.71,1.67,20.9,298,732
79,26,-0.71,1.67,20.9,298,733
123,26,-0.71,1.67,20.9,298,734
107,0,-0.52,2,52.3,90,735
66,0,-0.52,2,52.3,90,736
83,6,-0.72,2,52.3,290,737
45,6,-0.72,2,52.3,290,738
22,6,-0.72,2,52.3,290,739
96,3,-1.28,2,43,83,740
45,3,-1.28,2,43,83,741
53,3,-1.28,2,43,83,742
68,3,-1.28,2,43,83,743
107,3,-1.28,2,43,83,744
108,3,-1.28,2,43,83,745
117,3,-1.28,2,43,83,746
62,5,1.15,2.33,43,146,747
145,5,1.15,2.33,43,146,748
63,5,1.15,2.33,43,146,749
45,6,-0.3,3.25,43,152,750
36,6,-0.3,3.25,43,152,751
69,6,-0.3,3.25,43,152,752
66,6,-0.3,3.25,43,152,753
218,6,-0.3,3.25,43,152,754
54,6,-0.3,3.25,43,152,755
68,0,0.12,2.5,43,261,756
81,3,-1.22,4.5,43,311,757
32,3,-1.22,4.5,43,311,758
45,8,1.24,2.5,8.5,80,759
95,8,1.24,2.5,8.5,80,760
24,8,1.24,2.5,8.5,80,761
10,8,1.24,2.5,8.5,80,762
68,8,1.24,2.5,8.5,80,763
60,8,1.24,2.5,8.5,80,764
82,31,0.45,2,8.5,120,765
80,31,0.45,2,8.5,120,766
104,31,0.45,2,8.5,120,767
85,31,0.45,2,8.5,120,768
35,31,0.45,2,8.5,120,769
54,31,0.45,2,8.5,120,770
