Subject,Year,Race,B,H,HW
126,1986,Other,0,0,5.942926256
126,1987,Other,0,0,11.18620892
150,1980,Other,0,0,3.349246338
150,1981,Other,0,0,3.300386895
150,1982,Other,0,0,3.223412415
150,1983,Other,0,0,2.998057339
150,1984,Other,0,0,2.150749125
150,1985,Other,0,0,3.061870322
150,1986,Other,0,0,3.062914045
150,1987,Other,0,0,2.296668334
162,1980,Other,0,0,1.65279887
162,1981,Other,0,0,2.900584647
162,1982,Other,0,0,3.285431335
162,1983,Other,0,0,4.664070204
162,1984,Other,0,0,4.94455036
162,1985,Other,0,0,5.682098743
162,1986,Other,0,0,7.304246502
162,1987,Other,0,0,8.659686592
166,1980,Other,0,0,2.732710477
166,1981,Other,0,0,2.554068038
166,1982,Other,0,0,3.925476201
166,1983,Other,0,0,3.966994374
166,1984,Other,0,0,3.222584055
166,1985,Other,0,0,5.630630451
166,1986,Other,0,0,5.528213657
166,1987,Other,0,0,6.366658826
189,1980,Other,0,0,3.097345263
189,1981,Other,0,0,2.307692345
189,1982,Other,0,0,4.337767354
189,1983,Other,0,0,2.919708002
189,1984,Other,0,0,4.245754378
189,1985,Other,0,0,5.393078063
189,1986,Other,0,0,5.398790725
189,1987,Other,0,0,5.784201322
193,1980,Other,0,0,4.785985443
193,1981,Other,0,0,12.10810745
193,1982,Other,0,0,6.188310536
193,1983,Other,0,0,10.80853442
193,1984,Other,0,0,9.180930079
193,1985,Other,0,0,9.699084946
193,1986,Other,0,0,10.52547625
193,1987,Other,0,0,11.35263681
209,1980,Other,0,0,6.807351979
209,1981,Other,0,0,2.149870787
209,1982,Other,0,0,7.229612331
209,1983,Other,0,0,7.018529207
209,1984,Other,0,0,7.667770756
209,1985,Other,0,0,6.703131315
209,1986,Other,0,0,7.189370953
209,1987,Other,0,0,8.908288672
212,1980,Other,0,0,5.956432632
212,1981,Other,0,0,8.846152885
212,1982,Other,0,0,7.126821904
212,1983,Other,0,0,7.728639482
212,1984,Other,0,0,7.484702357
212,1985,Other,0,0,8.14159264
212,1986,Other,0,0,8.533215021
212,1987,Other,0,0,9.405403555
218,1980,Other,0,0,7.488086519
218,1981,Other,0,0,7.11462469
218,1982,Other,0,0,9.734156262
218,1983,Other,0,0,8.979261843
218,1984,Other,0,0,11.34001176
218,1985,Other,0,0,15.22649503
218,1986,Other,0,0,19.4218036
218,1987,Other,0,0,21.43557219
243,1980,Other,0,0,4.778761095
243,1981,Other,0,0,5.384615079
243,1982,Other,0,0,5.422209335
243,1983,Other,0,0,5.263896989
243,1984,Other,0,0,5.463286972
243,1985,Other,0,0,5.32156902
243,1986,Other,0,0,5.133139761
243,1987,Other,0,0,5.971337702
259,1980,Other,0,0,8.225093425
259,1981,Other,0,0,8.076922764
259,1982,Other,0,0,7.711586161
259,1983,Other,0,0,3.699344993
259,1984,Other,0,0,4.428904514
259,1985,Other,0,0,4.677754507
259,1986,Other,0,0,4.641950634
259,1987,Other,0,0,4.281637673
260,1980,Other,0,0,5.103425693
260,1981,Other,0,0,5.90094853
260,1982,Other,0,0,7.151029323
260,1983,Other,0,0,7.966030015
260,1984,Other,0,0,8.405056864
260,1985,Other,0,0,9.66411234
260,1986,Other,0,0,7.331199177
260,1987,Other,0,0,11.26335533
309,1980,Other,0,0,5.965994184
309,1981,Other,0,0,9.784172316
309,1982,Other,0,0,9.62406038
309,1983,Other,0,0,9.732360126
309,1984,Other,0,0,9.098708728
309,1985,Other,0,0,9.023682107
309,1986,Other,0,0,9.08750035
309,1987,Other,0,0,11.90391051
351,1980,Other,0,0,5.172658851
351,1981,Other,0,0,3.802202363
351,1982,Other,0,0,4.58512721
351,1983,Other,0,0,4.132371171
351,1984,Other,0,0,2.469282062
351,1985,Other,0,0,6.609870815
351,1986,Other,0,0,5.95034767
351,1987,Other,0,0,5.463055775
353,1980,Other,0,0,6.285197285
353,1981,Other,0,0,6.153846165
353,1982,Other,0,0,5.321420577
353,1983,Other,0,0,4.820272963
353,1984,Other,0,0,5.37923611
353,1985,Other,0,0,4.872661114
353,1986,Other,0,0,5.890218758
353,1987,Other,0,0,6.43067158
383,1980,Black,1,0,4.318413639
383,1981,Black,1,0,4.80769256
383,1982,Black,1,0,5.241468916
383,1983,Black,1,0,5.614823218
383,1984,Black,1,0,5.883539306
383,1985,Black,1,0,7.471414347
383,1986,Black,1,0,7.322974708
383,1987,Black,1,0,7.043116
408,1980,Other,0,0,5.217899677
408,1981,Other,0,0,4.435032634
408,1982,Other,0,0,6.561214719
408,1983,Other,0,0,7.854067732
408,1984,Other,0,0,12.04724844
408,1985,Other,0,0,11.36954177
408,1986,Other,0,0,12.61088641
408,1987,Other,0,0,7.921673543
424,1980,Other,0,0,8.721920318
424,1981,Other,0,0,10.2307703
424,1982,Other,0,0,10.84441869
424,1983,Other,0,0,10.35232994
424,1984,Other,0,0,11.16191496
424,1985,Other,0,0,10.84979271
424,1986,Other,0,0,10.50687746
424,1987,Other,0,0,13.16756545
464,1980,Other,0,0,2.644881516
464,1981,Other,0,0,2.726733706
464,1982,Other,0,0,3.003069718
464,1983,Other,0,0,3.368893896
464,1984,Other,0,0,3.740584049
464,1985,Other,0,0,4.013816337
464,1986,Other,0,0,4.823684547
464,1987,Other,0,0,6.690574432
483,1980,Other,0,0,5.379670258
483,1981,Other,0,0,5.268292617
483,1982,Other,0,0,5.783689713
483,1983,Other,0,0,5.77449468
483,1984,Other,0,0,5.043034067
483,1985,Other,0,0,5.197504968
483,1986,Other,0,0,5.73102383
483,1987,Other,0,0,5.62421788
556,1980,Other,0,0,6.954197812
556,1981,Other,0,0,8.333333669
556,1982,Other,0,0,8.675534725
556,1983,Other,0,0,12.05228174
556,1984,Other,0,0,10.75847224
556,1985,Other,0,0,9.933240459
556,1986,Other,0,0,9.965111542
556,1987,Other,0,0,13.22196388
560,1980,Other,0,0,4.002212197
560,1981,Other,0,0,8.394542857
560,1982,Other,0,0,2.634965852
560,1983,Other,0,0,3.201434194
560,1984,Other,0,0,3.883042981
560,1985,Other,0,0,4.12164901
560,1986,Other,0,0,3.370237528
560,1987,Other,0,0,5.15186855
569,1980,Other,0,0,1.981244255
569,1981,Other,0,0,2.94170407
569,1982,Other,0,0,2.315523347
569,1983,Other,0,0,4.515740014
569,1984,Other,0,0,2.775002639
569,1985,Other,0,0,1.72047045
569,1986,Other,0,0,1.121555223
569,1987,Other,0,0,1.36731882
583,1980,Other,0,0,5.087426814
583,1981,Other,0,0,6.559241632
583,1982,Other,0,0,5.704164449
583,1983,Other,0,0,8.978101592
583,1984,Other,0,0,8.035233657
583,1985,Other,0,0,6.810381981
583,1986,Other,0,0,8.642688679
583,1987,Other,0,0,7.279345127
647,1980,Other,0,0,4.041865018
647,1981,Other,0,0,4.571428312
647,1982,Other,0,0,4.522898315
647,1983,Other,0,0,5.181225364
647,1984,Other,0,0,4.706831882
647,1985,Other,0,0,6.214941251
647,1986,Other,0,0,6.57766845
647,1987,Other,0,0,7.565970747
658,1980,Other,0,0,5.648654066
658,1981,Other,0,0,6.133459641
658,1982,Other,0,0,5.47421194
658,1983,Other,0,0,6.95630795
658,1984,Other,0,0,6.929258088
658,1985,Other,0,0,8.164415105
658,1986,Other,0,0,8.953519026
658,1987,Other,0,0,7.427155363
684,1980,Other,0,0,16.80678357
684,1981,Other,0,0,8.846152885
684,1982,Other,0,0,10.06864909
684,1983,Other,0,0,9.500280417
684,1984,Other,0,0,10.50968347
684,1985,Other,0,0,10.11326832
684,1986,Other,0,0,9.520240533
684,1987,Other,0,0,11.08233714
711,1980,Other,0,0,3.428163004
711,1981,Other,0,0,3.921568398
711,1982,Other,0,0,5.422209335
711,1983,Other,0,0,5.263896989
711,1984,Other,0,0,4.739236922
711,1985,Other,0,0,0.489620061
711,1986,Other,0,0,4.342633945
711,1987,Other,0,0,1.670304246
729,1980,Other,0,0,7.096343043
729,1981,Other,0,0,6.641509529
729,1982,Other,0,0,22.11410687
729,1983,Other,0,0,6.758583533
729,1984,Other,0,0,5.029217552
729,1985,Other,0,0,7.976726166
729,1986,Other,0,0,8.227974661
729,1987,Other,0,0,8.632941466
731,1980,Other,0,0,5.236424579
731,1981,Other,0,0,4.324324439
731,1982,Other,0,0,2.739642727
731,1983,Other,0,0,4.38394613
731,1984,Other,0,0,1.85655057
731,1985,Other,0,0,9.259259561
731,1986,Other,0,0,14.26388159
731,1987,Other,0,0,8.492569694
732,1980,Other,0,0,4.469473355
732,1981,Other,0,0,4.961538739
732,1982,Other,0,0,4.503445982
732,1983,Other,0,0,6.03784299
732,1984,Other,0,0,5.222050837
732,1985,Other,0,0,5.832148253
732,1986,Other,0,0,5.599526268
732,1987,Other,0,0,5.824427097
793,1980,Other,0,0,2.438854416
793,1981,Other,0,0,6.896551963
793,1982,Other,0,0,6.703634751
793,1983,Other,0,0,6.588823368
793,1984,Other,0,0,5.358626004
793,1985,Other,0,0,6.661591172
793,1986,Other,0,0,5.979699116
793,1987,Other,0,0,4.777070036
797,1980,Other,0,0,2.698035803
797,1981,Other,0,0,10.43478304
797,1982,Other,0,0,5.370569485
797,1983,Other,0,0,7.313003495
797,1984,Other,0,0,11.5653581
797,1985,Other,0,0,11.5904362
797,1986,Other,0,0,8.777918473
797,1987,Other,0,0,11.20078289
800,1980,Other,0,0,4.892784268
800,1981,Other,0,0,5.00000015
800,1982,Other,0,0,4.518507817
800,1983,Other,0,0,4.737506762
800,1984,Other,0,0,4.706831882
800,1985,Other,0,0,5.035083169
800,1986,Other,0,0,6.208609225
800,1987,Other,0,0,7.318716743
813,1980,Other,0,0,4.740834336
813,1981,Other,0,0,1.526400015
813,1982,Other,0,0,2.034874364
813,1983,Other,0,0,2.538876568
813,1984,Other,0,0,0.027901393
813,1985,Other,0,0,3.753753567
813,1986,Other,0,0,4.013646478
813,1987,Other,0,0,4.680943575
823,1980,Other,0,0,0.688898487
823,1981,Other,0,0,1.833660827
823,1982,Other,0,0,2.374722295
823,1983,Other,0,0,1.668910818
823,1984,Other,0,0,1.981613916
823,1985,Other,0,0,2.717600448
823,1986,Other,0,0,4.199059565
823,1987,Other,0,0,3.244741124
827,1980,Other,0,0,2.419800821
827,1981,Other,0,0,4.157303539
827,1982,Other,0,0,3.919262961
827,1983,Other,0,0,4.021636635
827,1984,Other,0,0,6.002581328
827,1985,Other,0,0,7.016631887
827,1986,Other,0,0,9.617761594
827,1987,Other,0,0,13.85940008
847,1980,Black,1,0,4.771820121
847,1981,Black,1,0,5.283019098
847,1982,Black,1,0,5.874060185
847,1983,Black,1,0,5.965749536
847,1984,Black,1,0,7.396450078
847,1985,Black,1,0,5.197504968
847,1986,Black,1,0,8.378852435
847,1987,Black,1,0,5.410920481
851,1980,Other,0,0,6.526123528
851,1981,Other,0,0,7.075768967
851,1982,Other,0,0,6.470503328
851,1983,Other,0,0,8.798076594
851,1984,Other,0,0,6.783526755
851,1985,Other,0,0,7.522704688
851,1986,Other,0,0,8.311659851
851,1987,Other,0,0,7.225591257
863,1980,Other,0,0,4.80881601
863,1981,Other,0,0,4.769230872
863,1982,Other,0,0,4.806536713
863,1983,Other,0,0,6.014177487
863,1984,Other,0,0,6.278757003
863,1985,Other,0,0,6.134538936
863,1986,Other,0,0,7.67828061
863,1987,Other,0,0,6.725481879
873,1980,Other,0,0,1.81641161
873,1981,Other,0,0,1.608000003
873,1982,Other,0,0,2.97506353
873,1983,Other,0,0,2.718287337
873,1984,Other,0,0,2.300331199
873,1985,Other,0,0,4.060398487
873,1986,Other,0,0,5.663994746
873,1987,Other,0,0,6.57235427
891,1980,Other,0,0,7.389380257
891,1981,Other,0,0,10.05139911
891,1982,Other,0,0,10.06246957
891,1983,Other,0,0,6.556230358
891,1984,Other,0,0,6.487652939
891,1985,Other,0,0,7.998054787
891,1986,Other,0,0,6.602509086
891,1987,Other,0,0,6.106950201
908,1980,Other,0,0,2.711713295
908,1981,Other,0,0,1.25984252
908,1982,Other,0,0,1.540737088
908,1983,Other,0,0,2.648928734
908,1984,Other,0,0,1.668975378
908,1985,Other,0,0,2.581669596
908,1986,Other,0,0,3.606321006
908,1987,Other,0,0,3.966430714
910,1980,Black,1,0,6.458475382
910,1981,Black,1,0,8.450703457
910,1982,Black,1,0,2.831754644
910,1983,Black,1,0,5.823885548
910,1984,Black,1,0,6.815218328
910,1985,Black,1,0,9.555009143
910,1986,Black,1,0,8.264371918
910,1987,Black,1,0,6.634819618
916,1980,Other,0,0,3.239570208
916,1981,Other,0,0,4.102564037
916,1982,Other,0,0,5.031886766
916,1983,Other,0,0,5.413742587
916,1984,Other,0,0,7.110341231
916,1985,Other,0,0,6.756756485
916,1986,Other,0,0,7.525587479
916,1987,Other,0,0,9.799117847
919,1980,Other,0,0,4.797090056
919,1981,Other,0,0,4.038461374
919,1982,Other,0,0,3.976286899
919,1983,Other,0,0,4.456765993
919,1984,Other,0,0,4.034427147
919,1985,Other,0,0,4.222972906
919,1986,Other,0,0,4.935048357
919,1987,Other,0,0,5.052670503
922,1980,Other,0,0,4.965462271
922,1981,Other,0,0,7.652174332
922,1982,Other,0,0,9.380456108
922,1983,Other,0,0,9.185915567
922,1984,Other,0,0,11.56324061
922,1985,Other,0,0,13.51351299
922,1986,Other,0,0,10.54540773
922,1987,Other,0,0,8.908288672
924,1980,Other,0,0,2.347987411
924,1981,Other,0,0,2.440412376
924,1982,Other,0,0,2.339743412
924,1983,Other,0,0,1.805680869
924,1984,Other,0,0,3.330003139
924,1985,Other,0,0,4.733279765
924,1986,Other,0,0,6.062460847
924,1987,Other,0,0,5.462629876
925,1980,Other,0,0,8.459135589
925,1981,Other,0,0,9.230768313
925,1982,Other,0,0,8.462716193
925,1983,Other,0,0,9.358037677
925,1984,Other,0,0,10.45962634
925,1985,Other,0,0,11.18359823
925,1986,Other,0,0,1.050687724
925,1987,Other,0,0,13.7800103
944,1980,Other,0,0,2.269117281
944,1981,Other,0,0,1.803257339
944,1982,Other,0,0,4.054253449
944,1983,Other,0,0,4.737506762
944,1984,Other,0,0,5.043034067
944,1985,Other,0,0,4.992677127
944,1986,Other,0,0,5.003274709
944,1987,Other,0,0,3.311660364
945,1980,Other,0,0,2.828156057
945,1981,Other,0,0,3.895652296
945,1982,Other,0,0,3.527191625
945,1983,Other,0,0,3.753580395
945,1984,Other,0,0,5.577672512
945,1985,Other,0,0,3.707653418
945,1986,Other,0,0,4.102615878
945,1987,Other,0,0,3.999640019
947,1980,Other,0,0,9.360108395
947,1981,Other,0,0,10.76923018
947,1982,Other,0,0,10.87579003
947,1983,Other,0,0,10.85502447
947,1984,Other,0,0,11.0263185
947,1985,Other,0,0,11.83876175
947,1986,Other,0,0,9.622458914
947,1987,Other,0,0,9.799117847
955,1980,Other,0,0,7.931207637
955,1981,Other,0,0,7.307691938
955,1982,Other,0,0,7.229612331
955,1983,Other,0,0,8.071307483
955,1984,Other,0,0,8.405056864
955,1985,Other,0,0,9.095633179
955,1986,Other,0,0,11.88656809
955,1987,Other,0,0,9.18667337
965,1980,Other,0,0,4.126956919
965,1981,Other,0,0,4.384615641
965,1982,Other,0,0,3.994361103
965,1983,Other,0,0,4.562043993
965,1984,Other,0,0,4.168908067
965,1985,Other,0,0,4.222972906
965,1986,Other,0,0,4.139072742
965,1987,Other,0,0,3.98089173
996,1980,Other,0,0,4.747616479
996,1981,Other,0,0,4.403669659
996,1982,Other,0,0,3.470213792
996,1983,Other,0,0,2.056132405
996,1984,Other,0,0,2.241348394
996,1985,Other,0,0,2.277558473
996,1986,Other,0,0,3.031433504
996,1987,Other,0,0,9.380599244
1007,1980,Other,0,0,4.25459509
1007,1981,Other,0,0,5.769231024
1007,1982,Other,0,0,4.699248024
1007,1983,Other,0,0,7.720381449
1007,1984,Other,0,0,8.603281643
1007,1985,Other,0,0,9.652508932
1007,1986,Other,0,0,15.60112185
1007,1987,Other,0,0,13.15997345
1054,1980,Other,0,0,2.064036796
1054,1981,Other,0,0,6.015037884
1054,1982,Other,0,0,3.19608806
1054,1983,Other,0,0,4.304237881
1054,1984,Other,0,0,2.7960842
1054,1985,Other,0,0,3.68156631
1054,1986,Other,0,0,5.206380742
1054,1987,Other,0,0,3.703154957
1064,1980,Other,0,0,6.70677529
1064,1981,Other,0,0,7.546402481
1064,1982,Other,0,0,6.655394334
1064,1983,Other,0,0,8.352048657
1064,1984,Other,0,0,6.555944312
1064,1985,Other,0,0,7.333679858
1064,1986,Other,0,0,7.127962137
1064,1987,Other,0,0,6.885866764
1081,1980,Other,0,0,2.968322091
1081,1981,Other,0,0,3.487358435
1081,1982,Other,0,0,4.699248024
1081,1983,Other,0,0,3.86400189
1081,1984,Other,0,0,4.162504033
1081,1985,Other,0,0,2.876575634
1081,1986,Other,0,0,3.540339062
1081,1987,Other,0,0,7.389126567
1085,1980,Other,0,0,6.600358346
1085,1981,Other,0,0,4.39963353
1085,1982,Other,0,0,3.379209984
1085,1983,Other,0,0,2.090882322
1085,1984,Other,0,0,3.628332942
1085,1985,Other,0,0,2.925618055
1085,1986,Other,0,0,3.732851015
1085,1987,Other,0,0,7.516116269
1091,1980,Other,0,0,3.037403146
1091,1981,Other,0,0,3.196615413
1091,1982,Other,0,0,2.891844851
1091,1983,Other,0,0,3.088152861
1091,1984,Other,0,0,3.28438696
1091,1985,Other,0,0,3.396668199
1091,1986,Other,0,0,3.20485705
1091,1987,Other,0,0,4.038585583
1094,1980,Other,0,0,3.829135611
1094,1981,Other,0,0,4.081632867
1094,1982,Other,0,0,4.616804974
1094,1983,Other,0,0,5.798485317
1094,1984,Other,0,0,6.724045315
1094,1985,Other,0,0,7.143707806
1094,1986,Other,0,0,8.502983475
1094,1987,Other,0,0,8.807109405
1096,1980,Other,0,0,3.539822943
1096,1981,Other,0,0,3.58974375
1096,1982,Other,0,0,2.717637542
1096,1983,Other,0,0,2.625900962
1096,1984,Other,0,0,2.797202709
1096,1985,Other,0,0,2.753845621
1096,1986,Other,0,0,3.612281858
1096,1987,Other,0,0,4.088483169
1098,1980,Other,0,0,4.720750821
1098,1981,Other,0,0,8.400000487
1098,1982,Other,0,0,15.76473973
1098,1983,Other,0,0,4.524954104
1098,1984,Other,0,0,6.91287909
1098,1985,Other,0,0,9.753984489
1098,1986,Other,0,0,9.633286615
1098,1987,Other,0,0,9.8036887
1102,1980,Other,0,0,2.41351575
1102,1981,Other,0,0,7.692306992
1102,1982,Other,0,0,6.252637669
1102,1983,Other,0,0,5.895563984
1102,1984,Other,0,0,6.186121418
1102,1985,Other,0,0,14.25737739
1102,1986,Other,0,0,16.03264523
1102,1987,Other,0,0,17.31868364
1107,1980,Other,0,0,4.680054188
1107,1981,Other,0,0,4.80769256
1107,1982,Other,0,0,5.241468916
1107,1983,Other,0,0,5.263896989
1107,1984,Other,0,0,7.396450078
1107,1985,Other,0,0,6.496881381
1107,1986,Other,0,0,6.622516226
1107,1987,Other,0,0,7.655561206
1180,1980,Other,0,0,6.38189275
1180,1981,Other,0,0,5.00000015
1180,1982,Other,0,0,5.422209335
1180,1983,Other,0,0,4.652921284
1180,1984,Other,0,0,7.698723125
1180,1985,Other,0,0,6.821725807
1180,1986,Other,0,0,8.278146487
1180,1987,Other,0,0,9.18667337
1204,1980,Other,0,0,5.065142559
1204,1981,Other,0,0,5.769231024
1204,1982,Other,0,0,6.92235425
1204,1983,Other,0,0,5.921532765
1204,1984,Other,0,0,6.47929027
1204,1985,Other,0,0,7.471414347
1204,1986,Other,0,0,9.500765149
1204,1987,Other,0,0,9.492894718
1249,1980,Other,0,0,4.621625944
1249,1981,Other,0,0,3.819016317
1249,1982,Other,0,0,5.257045328
1249,1983,Other,0,0,3.988529486
1249,1984,Other,0,0,4.533554093
1249,1985,Other,0,0,4.158004361
1249,1986,Other,0,0,4.237442199
1249,1987,Other,0,0,4.239219157
1272,1980,Other,0,0,5.759587267
1272,1981,Other,0,0,6.248718239
1272,1982,Other,0,0,5.783689713
1272,1983,Other,0,0,5.942354563
1272,1984,Other,0,0,5.594405429
1272,1985,Other,0,0,5.659358691
1272,1986,Other,0,0,5.839712567
1272,1987,Other,0,0,6.736893895
1311,1980,Other,0,0,1.745044575
1311,1981,Other,0,0,4.733727801
1311,1982,Other,0,0,5.402347709
1311,1983,Other,0,0,5.179936488
1311,1984,Other,0,0,9.141184867
1311,1985,Other,0,0,6.651729112
1311,1986,Other,0,0,5.995940997
1311,1987,Other,0,0,7.8358502
1316,1980,Other,0,0,4.680054188
1316,1981,Other,0,0,5.416666895
1316,1982,Other,0,0,6.538084164
1316,1983,Other,0,0,13.31983635
1316,1984,Other,0,0,15.46530398
1316,1985,Other,0,0,6.435006606
1316,1986,Other,0,0,6.76080598
1316,1987,Other,0,0,6.736893895
1318,1980,Other,0,0,2.885725398
1318,1981,Other,0,0,4.339250657
1318,1982,Other,0,0,3.818139127
1318,1983,Other,0,0,3.649635099
1318,1984,Other,0,0,3.496503479
1318,1985,Other,0,0,3.789380517
1318,1986,Other,0,0,3.618070547
1318,1987,Other,0,0,3.618992368
1345,1980,Other,0,0,5.839809333
1345,1981,Other,0,0,0.484848477
1345,1982,Other,0,0,6.624953755
1345,1983,Other,0,0,8.071307483
1345,1984,Other,0,0,9.08182772
1345,1985,Other,0,0,8.662509402
1345,1986,Other,0,0,9.219280758
1345,1987,Other,0,0,4.873703881
1397,1980,Other,0,0,5.871341072
1397,1981,Other,0,0,4.961538739
1397,1982,Other,0,0,4.699248024
1397,1983,Other,0,0,5.965749536
1397,1984,Other,0,0,5.37923611
1397,1985,Other,0,0,5.587318054
1397,1986,Other,0,0,6.049414241
1397,1987,Other,0,0,5.818226599
1434,1980,Other,0,0,1.229105207
1434,1981,Other,0,0,3.068072894
1434,1982,Other,0,0,2.962748506
1434,1983,Other,0,0,3.556990488
1434,1984,Other,0,0,3.002281877
1434,1985,Other,0,0,3.839066157
1434,1986,Other,0,0,6.686194766
1434,1987,Other,0,0,4.55120406
1492,1980,Other,0,0,7.663397267
1492,1981,Other,0,0,3.134182319
1492,1982,Other,0,0,3.9690861
1492,1983,Other,0,0,4.365592024
1492,1984,Other,0,0,4.370629463
1492,1985,Other,0,0,4.121768898
1492,1986,Other,0,0,4.474673336
1492,1987,Other,0,0,4.48551172
1496,1980,Other,0,0,3.248963506
1496,1981,Other,0,0,2.966216359
1496,1982,Other,0,0,1.007764166
1496,1983,Other,0,0,2.218219724
1496,1984,Other,0,0,2.82138626
1496,1985,Other,0,0,3.348036795
1496,1986,Other,0,0,3.334953822
1496,1987,Other,0,0,6.405009763
1506,1980,Other,0,0,2.649568101
1506,1981,Other,0,0,11.76470683
1506,1982,Other,0,0,2.872077715
1506,1983,Other,0,0,3.135425237
1506,1984,Other,0,0,2.753152373
1506,1985,Other,0,0,2.923596638
1506,1986,Other,0,0,2.886326782
1506,1987,Other,0,0,2.526731758
1515,1980,Other,0,0,2.811672165
1515,1981,Other,0,0,3.64239315
1515,1982,Other,0,0,3.722763829
1515,1983,Other,0,0,3.51913363
1515,1984,Other,0,0,5.192826685
1515,1985,Other,0,0,5.847193288
1515,1986,Other,0,0,6.049414241
1515,1987,Other,0,0,6.114649337
1520,1980,Black,1,0,3.958728621
1520,1981,Black,1,0,3.872529161
1520,1982,Black,1,0,3.855793533
1520,1983,Black,1,0,3.862047492
1520,1984,Black,1,0,3.936554218
1520,1985,Black,1,0,4.060550962
1520,1986,Black,1,0,4.85759181
1520,1987,Black,1,0,5.134563892
1528,1980,Black,1,0,2.661521123
1528,1981,Black,1,0,3.461538579
1528,1982,Black,1,0,3.524436075
1528,1983,Black,1,0,2.807411604
1528,1984,Black,1,0,3.307503171
1528,1985,Black,1,0,3.21589123
1528,1986,Black,1,0,3.92122668
1528,1987,Black,1,0,4.048364313
1554,1980,Other,0,0,3.713100925
1554,1981,Other,0,0,3.396226466
1554,1982,Other,0,0,4.091315858
1554,1983,Other,0,0,4.827559492
1554,1984,Other,0,0,4.288164675
1554,1985,Other,0,0,6.519677305
1554,1986,Other,0,0,6.513951035
1554,1987,Other,0,0,5.661712353
1575,1980,Other,0,0,4.835823687
1575,1981,Other,0,0,5.708848778
1575,1982,Other,0,0,5.922903784
1575,1983,Other,0,0,6.495837454
1575,1984,Other,0,0,5.240388069
1575,1985,Other,0,0,5.947849202
1575,1986,Other,0,0,4.927467422
1575,1987,Other,0,0,7.352873578
1576,1980,Other,0,0,3.761061793
1576,1981,Other,0,0,3.846153947
1576,1982,Other,0,0,4.77154424
1576,1983,Other,0,0,24.54944083
1576,1984,Other,0,0,6.285849169
1576,1985,Other,0,0,6.491207633
1576,1986,Other,0,0,2.283626423
