Subject,Year,Race,H,HW,Y2,Y3,Y4
2264,1986,Black,0,5.157921487,0,1,0
2264,1987,Black,0,5.20578123,0,0,1
2351,1984,Black,0,3.34771592,0,0,0
2351,1985,Black,0,2.598752634,1,0,0
2351,1986,Black,0,4.730369126,0,1,0
2351,1987,Black,0,4.458598782,0,0,1
2386,1984,Hispanic,1,3.040437861,0,0,0
2386,1985,Hispanic,1,2.931791698,1,0,0
2386,1986,Hispanic,1,4.376395741,0,1,0
2386,1987,Hispanic,1,4.611595399,0,0,1
2718,1984,Black,0,11.4308765,0,0,0
2718,1985,Black,0,10.07016636,1,0,0
2718,1986,Black,0,10.50687746,0,1,0
2718,1987,Black,0,10.10534102,0,0,1
2733,1984,Black,0,2.745651721,0,0,0
2733,1985,Black,0,2.868434383,1,0,0
2733,1986,Black,0,2.521902713,0,1,0
2733,1987,Black,0,2.465584564,0,0,1
2751,1984,Black,0,4.566329273,0,0,0
2751,1985,Black,0,4.547817123,1,0,0
2751,1986,Black,0,5.73102383,0,1,0
2751,1987,Black,0,7.043116,0,0,1
2874,1984,Hispanic,1,3.273054551,0,0,0
2874,1985,Hispanic,1,3.771213189,1,0,0
2874,1986,Hispanic,1,3.314271288,0,1,0
2874,1987,Hispanic,1,4.090457555,0,0,1
2951,1984,Black,0,3.261663648,0,0,0
2951,1985,Black,0,3.898128789,1,0,0
2951,1986,Black,0,3.885209933,0,1,0
2951,1987,Black,0,3.98089173,0,0,1
3239,1984,Black,0,1.448255874,0,0,0
3239,1985,Black,0,2.761174777,1,0,0
3239,1986,Black,0,2.879354926,0,1,0
3239,1987,Black,0,5.384131111,0,0,1
3282,1984,Hispanic,1,8.405056864,0,0,0
3282,1985,Hispanic,1,7.796258521,1,0,0
3282,1986,Hispanic,1,5.909857381,0,1,0
3282,1987,Hispanic,1,11.12634086,0,0,1
3307,1984,Black,0,13.95411731,0,0,0
3307,1985,Black,0,14.0487014,1,0,0
3307,1986,Black,0,16.55629301,0,1,0
3307,1987,Black,0,16.65645029,0,0,1
3394,1984,Black,0,8.7412579,0,0,0
3394,1985,Black,0,8.121100971,1,0,0
3394,1986,Black,0,4.849822856,0,1,0
3394,1987,Black,0,3.216882379,0,0,1
3538,1984,Black,0,7.228348989,0,0,0
3538,1985,Black,0,6.852371248,1,0,0
3538,1986,Black,0,8.58345114,0,1,0
3538,1987,Black,0,6.828760472,0,0,1
3937,1984,Black,0,11.53232763,0,0,0
3937,1985,Black,0,5.674966569,1,0,0
3937,1986,Black,0,5.437434769,0,1,0
3937,1987,Black,0,7.264052094,0,0,1
4204,1984,Black,0,3.496503479,0,0,0
4204,1985,Black,0,3.69221699,1,0,0
4204,1986,Black,0,4.255432539,0,1,0
4204,1987,Black,0,3.915631133,0,0,1
4264,1984,Hispanic,1,3.443526087,0,0,0
4264,1985,Hispanic,1,3.638253603,1,0,0
4264,1986,Hispanic,1,3.897096377,0,1,0
4264,1987,Hispanic,1,2.814179739,0,0,1
4321,1984,Hispanic,1,6.034830797,0,0,0
4321,1985,Hispanic,1,8.611551879,1,0,0
4321,1986,Hispanic,1,7.322974708,0,1,0
4321,1987,Hispanic,1,8.880451801,0,0,1
5141,1984,Hispanic,1,4.017430518,0,0,0
5141,1985,Hispanic,1,9.936407339,1,0,0
5141,1986,Hispanic,1,10.18848648,0,1,0
5141,1987,Hispanic,1,10.49424966,0,0,1
5147,1984,Hispanic,1,6.466841251,0,0,0
5147,1985,Hispanic,1,10.32810837,1,0,0
5147,1986,Hispanic,1,12.57439924,0,1,0
5147,1987,Hispanic,1,11.78531581,0,0,1
5221,1984,Hispanic,1,6.05164083,0,0,0
5221,1985,Hispanic,1,6.172037562,1,0,0
5221,1986,Hispanic,1,6.049414241,0,1,0
5221,1987,Hispanic,1,10.6157124,0,0,1
5731,1984,Hispanic,1,4.243881085,0,0,0
5731,1985,Hispanic,1,5.522349564,1,0,0
5731,1986,Hispanic,1,10.82526665,0,1,0
5731,1987,Hispanic,1,4.899558914,0,0,1
5750,1984,Hispanic,1,6.327006232,0,0,0
5750,1985,Hispanic,1,6.821725807,1,0,0
5750,1986,Hispanic,1,10.18848648,0,1,0
5750,1987,Hispanic,1,7.961782526,0,0,1
5755,1984,Hispanic,1,7.060247108,0,0,0
5755,1985,Hispanic,1,6.821725807,1,0,0
5755,1986,Hispanic,1,6.845389783,0,1,0
5755,1987,Hispanic,1,6.736893895,0,0,1
5772,1984,Hispanic,1,5.102424405,0,0,0
5772,1985,Hispanic,1,10.43726621,1,0,0
5772,1986,Hispanic,1,2.69646445,0,1,0
5772,1987,Hispanic,1,4.799656668,0,0,1
5816,1984,Hispanic,1,3.973299387,0,0,0
5816,1985,Hispanic,1,2.947612615,1,0,0
5816,1986,Hispanic,1,3.973510169,0,1,0
5816,1987,Hispanic,1,4.28711431,0,0,1
5823,1984,Hispanic,1,4.370629463,0,0,0
5823,1985,Hispanic,1,4.547817123,1,0,0
5823,1986,Hispanic,1,3.599193752,0,1,0
5823,1987,Hispanic,1,3.364980136,0,0,1
5851,1984,Hispanic,1,6.455083279,0,0,0
5851,1985,Hispanic,1,5.839172381,1,0,0
5851,1986,Hispanic,1,6.131959473,0,1,0
5851,1987,Hispanic,1,7.043116,0,0,1
5857,1984,Hispanic,1,6.387842546,0,0,0
5857,1985,Hispanic,1,6.172037562,1,0,0
5857,1986,Hispanic,1,5.148246336,0,1,0
5857,1987,Hispanic,1,6.563912936,0,0,1
6016,1984,Hispanic,1,8.06885431,0,0,0
6016,1985,Hispanic,1,7.796258521,1,0,0
6016,1986,Hispanic,1,8.278146487,0,1,0
6016,1987,Hispanic,1,8.574228636,0,0,1
6020,1984,Black,0,3.01698306,0,0,0
6020,1985,Black,0,2.904828007,1,0,0
6020,1986,Black,0,3.328239087,0,1,0
6020,1987,Black,0,2.846785606,0,0,1
6025,1984,Black,0,3.362022651,0,0,0
6025,1985,Black,0,4.492524632,1,0,0
6025,1986,Black,0,3.586200093,0,1,0
6025,1987,Black,0,0.826125387,0,0,1
6056,1984,Black,0,3.885003835,0,0,0
6056,1985,Black,0,1.522958967,1,0,0
6056,1986,Black,0,3.55514518,0,1,0
6056,1987,Black,0,3.976910746,0,0,1
6094,1984,Black,0,3.694254991,0,0,0
6094,1985,Black,0,5.391029513,1,0,0
6094,1986,Black,0,5.798277259,0,1,0
6094,1987,Black,0,4.638443634,0,0,1
6186,1984,Black,0,5.180005031,0,0,0
6186,1985,Black,0,5.764058056,1,0,0
6186,1986,Black,0,5.890218758,0,1,0
6186,1987,Black,0,7.349338503,0,0,1
6395,1984,Black,0,6.824906211,0,0,0
6395,1985,Black,0,7.146569743,1,0,0
6395,1986,Black,0,7.322974708,0,1,0
6395,1987,Black,0,7.19622711,0,0,1
6430,1984,Black,0,4.264028565,0,0,0
6430,1985,Black,0,4.222972906,1,0,0
6430,1986,Black,0,4.139072742,0,1,0
6430,1987,Black,0,5.512003966,0,0,1
6574,1984,Black,0,3.567860866,0,0,0
6574,1985,Black,0,2.273908557,1,0,0
6574,1986,Black,0,3.642384032,0,1,0
6574,1987,Black,0,3.50318474,0,0,1
6648,1984,Black,0,12.45717976,0,0,0
6648,1985,Black,0,5.274791702,1,0,0
6648,1986,Black,0,6.812070049,0,1,0
6648,1987,Black,0,4.496066017,0,0,1
6813,1984,Black,0,4.370629463,0,0,0
6813,1985,Black,0,4.222972906,1,0,0
6813,1986,Black,0,4.775853231,0,1,0
6813,1987,Black,0,5.20578123,0,0,1
6824,1984,Hispanic,1,4.706831882,0,0,0
6824,1985,Hispanic,1,6.172037562,1,0,0
6824,1986,Hispanic,1,6.367804207,0,1,0
6824,1987,Hispanic,1,6.43067158,0,0,1
6888,1984,Hispanic,1,4.618023645,0,0,0
6888,1985,Hispanic,1,5.522349564,1,0,0
6888,1986,Hispanic,1,5.62913919,0,1,0
6888,1987,Hispanic,1,5.479770147,0,0,1
6942,1984,Hispanic,1,5.584928075,0,0,0
6942,1985,Hispanic,1,5.847193288,1,0,0
6942,1986,Hispanic,1,6.872422738,0,1,0
6942,1987,Hispanic,1,7.043116,0,0,1
6954,1984,Hispanic,1,3.33176614,0,0,0
6954,1985,Hispanic,1,5.051780946,1,0,0
6954,1986,Hispanic,1,7.959755467,0,1,0
6954,1987,Hispanic,1,5.88770553,0,0,1
6955,1984,Hispanic,1,4.632483948,0,0,0
6955,1985,Hispanic,1,6.340120162,1,0,0
6955,1986,Hispanic,1,7.221361507,0,1,0
6955,1987,Hispanic,1,5.846666349,0,0,1
6964,1984,Black,0,4.685314848,0,0,0
6964,1985,Black,0,3.673316343,1,0,0
6964,1986,Black,0,4.775853231,0,1,0
6964,1987,Black,0,6.050955527,0,0,1
7025,1984,Hispanic,1,7.918910895,0,0,0
7025,1985,Hispanic,1,9.769564023,1,0,0
7025,1986,Hispanic,1,8.596535899,0,1,0
7025,1987,Hispanic,1,8.717280181,0,0,1
7087,1984,Black,0,3.30378282,0,0,0
7087,1985,Black,0,3.036744582,1,0,0
7087,1986,Black,0,3.403143275,0,1,0
7087,1987,Black,0,2.904796495,0,0,1
7238,1984,Hispanic,1,3.060396793,0,0,0
7238,1985,Hispanic,1,4.057175112,1,0,0
7238,1986,Hispanic,1,3.038566391,0,1,0
7238,1987,Hispanic,1,6.736893895,0,0,1
7279,1984,Black,0,4.202528424,0,0,0
7279,1985,Black,0,4.872661114,1,0,0
7279,1986,Black,0,3.502292417,0,1,0
7279,1987,Black,0,4.899558914,0,0,1
7411,1984,Black,0,3.389467556,0,0,0
7411,1985,Black,0,2.429143802,1,0,0
7411,1986,Black,0,4.09519558,0,1,0
7411,1987,Black,0,4.899558914,0,0,1
7424,1984,Hispanic,1,6.633152543,0,0,0
7424,1985,Hispanic,1,11.71473414,1,0,0
7424,1986,Hispanic,1,11.03752847,0,1,0
7424,1987,Hispanic,1,11.07143536,0,0,1
7454,1984,Black,0,8.618979285,0,0,0
7454,1985,Black,0,8.092806033,1,0,0
7454,1986,Black,0,8.376305788,0,1,0
7454,1987,Black,0,8.757961054,0,0,1
7472,1984,Hispanic,1,5.37923611,0,0,0
7472,1985,Hispanic,1,4.113702886,1,0,0
7472,1986,Hispanic,1,6.944752746,0,1,0
7472,1987,Hispanic,1,7.655561206,0,0,1
7474,1984,Black,0,5.211254496,0,0,0
7474,1985,Black,0,6.046314827,1,0,0
7474,1986,Black,0,6.686194766,0,1,0
7474,1987,Black,0,7.043116,0,0,1
7509,1984,Black,0,6.555944312,0,0,0
7509,1985,Black,0,6.930223786,1,0,0
7509,1986,Black,0,8.596535899,0,1,0
7509,1987,Black,0,6.736893895,0,0,1
7539,1984,Hispanic,1,4.224092151,0,0,0
7539,1985,Hispanic,1,4.136114784,1,0,0
7539,1986,Hispanic,1,5.468132649,0,1,0
7539,1987,Hispanic,1,3.249707607,0,0,1
7801,1984,Black,0,3.127862503,0,0,0
7801,1985,Black,0,2.81531522,1,0,0
7801,1986,Black,0,4.457463098,0,1,0
7801,1987,Black,0,4.190412178,0,0,1
7824,1984,Hispanic,1,6.953348963,0,0,0
7824,1985,Hispanic,1,7.404665265,1,0,0
7824,1986,Hispanic,1,7.641364984,0,1,0
7824,1987,Hispanic,1,8.200978944,0,0,1
7923,1984,Black,0,10.42226922,0,0,0
7923,1985,Black,0,11.20712172,1,0,0
7923,1986,Black,0,11.14365806,0,1,0
7923,1987,Black,0,10.56467419,0,0,1
7926,1984,Hispanic,1,6.05164083,0,0,0
7926,1985,Hispanic,1,5.847193288,1,0,0
7926,1986,Hispanic,1,6.367804207,0,1,0
7926,1987,Hispanic,1,5.661712353,0,0,1
8087,1984,Hispanic,1,4.257665188,0,0,0
8087,1985,Hispanic,1,5.884916962,1,0,0
8087,1986,Hispanic,1,3.913305394,0,1,0
8087,1987,Hispanic,1,4.976114793,0,0,1
8096,1984,Hispanic,1,5.71543824,0,0,0
8096,1985,Hispanic,1,4.863609757,1,0,0
8096,1986,Hispanic,1,3.065979731,0,1,0
8096,1987,Hispanic,1,5.06161511,0,0,1
8106,1984,Hispanic,1,4.370629463,0,0,0
8106,1985,Hispanic,1,3.974562824,1,0,0
8106,1986,Hispanic,1,4.204772413,0,1,0
8106,1987,Hispanic,1,5.248806449,0,0,1
8107,1984,Hispanic,1,4.878841965,0,0,0
8107,1985,Hispanic,1,4.547817123,1,0,0
8107,1986,Hispanic,1,4.084611266,0,1,0
8107,1987,Hispanic,1,5.516826428,0,0,1
8142,1984,Hispanic,1,3.885003835,0,0,0
8142,1985,Hispanic,1,4.280040385,1,0,0
8142,1986,Hispanic,1,4.08077611,0,1,0
8142,1987,Hispanic,1,3.868072732,0,0,1
8168,1984,Hispanic,1,5.37923611,0,0,0
8168,1985,Hispanic,1,6.496881381,1,0,0
8168,1986,Hispanic,1,7.048354563,0,1,0
8168,1987,Hispanic,1,10.70201859,0,0,1
8173,1984,Hispanic,1,4.370629463,0,0,0
8173,1985,Hispanic,1,4.443866962,1,0,0
8173,1986,Hispanic,1,4.775853231,0,1,0
8173,1987,Hispanic,1,4.099136155,0,0,1
8203,1984,Hispanic,1,2.189591267,0,0,0
8203,1985,Hispanic,1,25.52552316,1,0,0
8203,1986,Hispanic,1,10.99679896,0,1,0
8203,1987,Hispanic,1,25.07673484,0,0,1
8211,1984,Hispanic,1,4.142012077,0,0,0
8211,1985,Hispanic,1,3.99133289,1,0,0
8211,1986,Hispanic,1,3.704904396,0,1,0
8211,1987,Hispanic,1,2.642338628,0,0,1
8224,1984,Black,0,3.252561251,0,0,0
8224,1985,Black,0,4.043944158,1,0,0
8224,1986,Black,0,6.123859648,0,1,0
8224,1987,Black,0,7.944758382,0,0,1
8272,1984,Hispanic,1,8.458064728,0,0,0
8272,1985,Hispanic,1,10.68375991,1,0,0
8272,1986,Hispanic,1,10.47150093,0,1,0
8272,1987,Hispanic,1,10.42565912,0,0,1
8300,1984,Hispanic,1,7.060247108,0,0,0
8300,1985,Hispanic,1,6.496881381,1,0,0
8300,1986,Hispanic,1,7.433437175,0,1,0
8300,1987,Hispanic,1,5.332372051,0,0,1
8304,1984,Hispanic,1,5.37923611,0,0,0
8304,1985,Hispanic,1,4.93762992,1,0,0
8304,1986,Hispanic,1,5.377256921,0,1,0
8304,1987,Hispanic,1,6.260547343,0,0,1
8364,1984,Hispanic,1,4.006410023,0,0,0
8364,1985,Hispanic,1,4.161694298,1,0,0
8364,1986,Hispanic,1,4.575275144,0,1,0
8364,1987,Hispanic,1,4.593336676,0,0,1
8381,1984,Hispanic,1,4.127020383,0,0,0
8381,1985,Hispanic,1,4.745548346,1,0,0
8381,1986,Hispanic,1,5.171596508,0,1,0
8381,1987,Hispanic,1,7.033722893,0,0,1
8388,1984,Hispanic,1,4.369238041,0,0,0
8388,1985,Hispanic,1,4.080790217,1,0,0
8388,1986,Hispanic,1,4.320000529,0,1,0
8388,1987,Hispanic,1,4.796120283,0,0,1
8406,1984,Hispanic,1,5.009413421,0,0,0
8406,1985,Hispanic,1,4.840176879,1,0,0
8406,1986,Hispanic,1,5.50815087,0,1,0
8406,1987,Hispanic,1,5.512003966,0,0,1
8415,1984,Black,0,6.219741775,0,0,0
8415,1985,Black,0,6.009615142,1,0,0
8415,1986,Black,0,7.322974708,0,1,0
8415,1987,Black,0,7.043116,0,0,1
8496,1984,Black,0,2.68961805,0,0,0
8496,1985,Black,0,3.118502949,1,0,0
8496,1986,Black,0,2.86551191,0,1,0
8496,1987,Black,0,3.368446941,0,0,1
8501,1984,Black,0,2.353415796,0,0,0
8501,1985,Black,0,2.273908557,1,0,0
8501,1986,Black,0,2.547121763,0,1,0
8501,1987,Black,0,2.756001978,0,0,1
8581,1984,Black,0,1.962260843,0,0,0
8581,1985,Black,0,2.675943222,1,0,0
8581,1986,Black,0,2.069536367,0,1,0
8581,1987,Black,0,2.114917633,0,0,1
8586,1984,Black,0,5.093590446,0,0,0
8586,1985,Black,0,5.197504968,1,0,0
8586,1986,Black,0,6.030437534,0,1,0
8586,1987,Black,0,5.345366935,0,0,1
8587,1984,Black,0,3.689619719,0,0,0
8587,1985,Black,0,4.378145374,1,0,0
8587,1986,Black,0,0.374859417,0,1,0
8587,1987,Black,0,2.205862047,0,0,1
8597,1984,Black,0,6.387842546,0,0,0
8597,1985,Black,0,6.821725807,1,0,0
8597,1986,Black,0,7.004584847,0,1,0
8597,1987,Black,0,7.043116,0,0,1
8722,1984,Hispanic,1,5.37923611,0,0,0
8722,1985,Hispanic,1,5.067567445,1,0,0
8722,1986,Hispanic,1,6.396749047,0,1,0
8722,1987,Hispanic,1,5.414013003,0,0,1
8749,1984,Black,0,4.552893862,0,0,0
8749,1985,Black,0,4.190488607,1,0,0
8749,1986,Black,0,4.616658029,0,1,0
8749,1987,Black,0,5.737995935,0,0,1
8860,1984,Hispanic,1,3.409763203,0,0,0
8860,1985,Hispanic,1,3.573284865,1,0,0
8860,1986,Hispanic,1,3.53413164,0,1,0
8860,1987,Hispanic,1,3.062224396,0,0,1
8862,1984,Hispanic,1,4.526218133,0,0,0
8862,1985,Hispanic,1,6.606393683,1,0,0
8862,1986,Hispanic,1,5.833592459,0,1,0
8862,1987,Hispanic,1,6.634819618,0,0,1
8880,1984,Hispanic,1,10.92402517,0,0,0
8880,1985,Hispanic,1,11.09510384,1,0,0
8880,1986,Hispanic,1,12.41721995,0,1,0
8880,1987,Hispanic,1,12.48907104,0,0,1
8886,1984,Hispanic,1,5.982610333,0,0,0
8886,1985,Hispanic,1,4.96426731,1,0,0
8886,1986,Hispanic,1,4.472879795,0,1,0
8886,1987,Hispanic,1,8.320421396,0,0,1
8903,1984,Hispanic,1,3.698225032,0,0,0
8903,1985,Hispanic,1,5.221130216,1,0,0
8903,1986,Hispanic,1,3.183902097,0,1,0
8903,1987,Hispanic,1,1.583309207,0,0,1
8908,1984,Hispanic,1,3.414792571,0,0,0
8908,1985,Hispanic,1,3.990210626,1,0,0
8908,1986,Hispanic,1,3.158136362,0,1,0
8908,1987,Hispanic,1,3.180002327,0,0,1
8911,1984,Hispanic,1,2.857719114,0,0,0
8911,1985,Hispanic,1,2.923596638,1,0,0
8911,1986,Hispanic,1,3.056546272,0,1,0
8911,1987,Hispanic,1,3.062224396,0,0,1
8917,1984,Hispanic,1,6.464124373,0,0,0
8917,1985,Hispanic,1,8.445945828,1,0,0
8917,1986,Hispanic,1,8.625966805,0,1,0
8917,1987,Hispanic,1,6.956370145,0,0,1
8991,1984,Black,0,9.077461407,0,0,0
8991,1985,Black,0,9.095633179,1,0,0
8991,1986,Black,0,8.914926212,0,1,0
8991,1987,Black,0,7.961782526,0,0,1
8997,1984,Black,0,10.42226922,0,0,0
8997,1985,Black,0,10.07016636,1,0,0
8997,1986,Black,0,10.82526665,0,1,0
8997,1987,Black,0,9.799117847,0,0,1
9014,1984,Black,0,2.929446464,0,0,0
9014,1985,Black,0,5.5853442,1,0,0
9014,1986,Black,0,8.799148546,0,1,0
9014,1987,Black,0,6.124448804,0,0,1
9015,1984,Black,0,4.743508256,0,0,0
9015,1985,Black,0,5.841121741,1,0,0
9015,1986,Black,0,5.328461583,0,1,0
9015,1987,Black,0,3.676112042,0,0,1
9066,1984,Black,0,3.477072786,0,0,0
9066,1985,Black,0,4.119973393,1,0,0
9066,1986,Black,0,5.30650355,0,1,0
9066,1987,Black,0,5.626701809,0,0,1
9230,1984,Black,0,3.204651132,0,0,0
9230,1985,Black,0,5.63837565,1,0,0
9230,1986,Black,0,7.004584847,0,1,0
9230,1987,Black,0,7.961782526,0,0,1
9265,1984,Hispanic,1,7.018529207,0,0,0
9265,1985,Hispanic,1,6.650351111,1,0,0
9265,1986,Hispanic,1,9.545969398,0,1,0
9265,1987,Hispanic,1,9.646007543,0,0,1
9367,1984,Black,0,4.39335373,0,0,0
9367,1985,Black,0,5.359927393,1,0,0
9367,1986,Black,0,5.228302779,0,1,0
9367,1987,Black,0,6.824385532,0,0,1
9390,1984,Black,0,10.1759502,0,0,0
9390,1985,Black,0,8.969145735,1,0,0
9390,1986,Black,0,11.17724339,0,1,0
9390,1987,Black,0,8.953008851,0,0,1
9391,1984,Black,0,3.746253658,0,0,0
9391,1985,Black,0,4.547817123,1,0,0
9391,1986,Black,0,8.278146487,0,1,0
9391,1987,Black,0,4.813168988,0,0,1
9418,1984,Black,0,8.087150788,0,0,0
9418,1985,Black,0,11.46903476,1,0,0
9418,1986,Black,0,12.78478055,0,1,0
9418,1987,Black,0,15.7167666,0,0,1
9424,1984,Hispanic,1,6.724045315,0,0,0
9424,1985,Hispanic,1,6.659303695,1,0,0
9424,1986,Hispanic,1,10.45660433,0,1,0
9424,1987,Hispanic,1,9.764450339,0,0,1
9643,1984,Hispanic,1,7.102273091,0,0,0
9643,1985,Hispanic,1,5.244050107,1,0,0
9643,1986,Hispanic,1,6.020469825,0,1,0
9643,1987,Hispanic,1,4.604404848,0,0,1
9667,1984,Hispanic,1,13.01728669,0,0,0
9667,1985,Hispanic,1,13.4596735,1,0,0
9667,1986,Hispanic,1,18.60413655,0,1,0
9667,1987,Hispanic,1,20.84539826,0,0,1
9683,1984,Black,0,2.524551187,0,0,0
9683,1985,Black,0,1.091812033,1,0,0
9683,1986,Black,0,9.391736957,0,1,0
9683,1987,Black,0,6.119741525,0,0,1
9776,1984,Hispanic,1,9.453822824,0,0,0
9776,1985,Hispanic,1,6.962857182,1,0,0
9776,1986,Hispanic,1,9.551706481,0,1,0
9776,1987,Hispanic,1,9.18667337,0,0,1
9786,1984,Hispanic,1,6.754608642,0,0,0
9786,1985,Hispanic,1,6.520767039,1,0,0
9786,1986,Hispanic,1,6.839599208,0,1,0
9786,1987,Hispanic,1,8.157031296,0,0,1
9810,1984,Hispanic,1,2.801685566,0,0,0
9810,1985,Hispanic,1,2.727247987,1,0,0
9810,1986,Hispanic,1,2.456423075,0,1,0
9810,1987,Hispanic,1,4.018058904,0,0,1
9846,1984,Hispanic,1,7.835302833,0,0,0
9846,1985,Hispanic,1,9.978332505,1,0,0
9846,1986,Hispanic,1,2.519435713,0,1,0
9846,1987,Hispanic,1,10.11020175,0,0,1
9859,1984,Hispanic,1,6.05164083,0,0,0
9859,1985,Hispanic,1,4.087464661,1,0,0
9859,1986,Hispanic,1,4.663743843,0,1,0
9859,1987,Hispanic,1,5.818226599,0,0,1
9868,1984,Hispanic,1,3.380986543,0,0,0
9868,1985,Hispanic,1,3.429825872,1,0,0
9868,1986,Hispanic,1,3.686623447,0,1,0
9868,1987,Hispanic,1,3.927704291,0,0,1
9876,1984,Hispanic,1,8.131404327,0,0,0
9876,1985,Hispanic,1,6.953251982,1,0,0
9876,1986,Hispanic,1,8.870239757,0,1,0
9876,1987,Hispanic,1,8.450316623,0,0,1
9883,1984,Hispanic,1,7.404359856,0,0,0
9883,1985,Hispanic,1,12.81638903,1,0,0
9883,1986,Hispanic,1,10.70305712,0,1,0
9883,1987,Hispanic,1,12.16923038,0,0,1
9901,1984,Hispanic,1,6.357278864,0,0,0
9901,1985,Hispanic,1,5.914010517,1,0,0
9901,1986,Hispanic,1,6.591618588,0,1,0
9901,1987,Hispanic,1,7.556947772,0,0,1
9936,1984,Hispanic,1,10.69123093,0,0,0
9936,1985,Hispanic,1,12.99376434,1,0,0
9936,1986,Hispanic,1,14.58227093,0,1,0
9936,1987,Hispanic,1,16.2297878,0,0,1
9964,1984,Hispanic,1,6.293706322,0,0,0
9964,1985,Hispanic,1,6.081080883,1,0,0
9964,1986,Hispanic,1,4.749215019,0,1,0
9964,1987,Hispanic,1,4.98476878,0,0,1
10043,1984,Hispanic,1,1.836238167,0,0,0
10043,1985,Hispanic,1,2.32991617,1,0,0
10043,1986,Hispanic,1,2.82771848,0,1,0
10043,1987,Hispanic,1,4.28711431,0,0,1
10067,1984,Hispanic,1,6.724045315,0,0,0
10067,1985,Hispanic,1,6.114865102,1,0,0
10067,1986,Hispanic,1,8.235253832,0,1,0
10067,1987,Hispanic,1,5.744973098,0,0,1
10167,1984,Black,0,5.71543824,0,0,0
10167,1985,Black,0,6.009615142,1,0,0
10167,1986,Black,0,6.367804207,0,1,0
10167,1987,Black,0,7.349338503,0,0,1
10311,1984,Hispanic,1,5.37923611,0,0,0
10311,1985,Hispanic,1,8.154705661,1,0,0
10311,1986,Hispanic,1,1.809430714,0,1,0
10311,1987,Hispanic,1,2.584994609,0,0,1
10392,1984,Hispanic,1,2.887435267,0,0,0
10392,1985,Hispanic,1,2.714252732,1,0,0
10392,1986,Hispanic,1,9.811136087,0,1,0
10392,1987,Hispanic,1,3.98089173,0,0,1
10425,1984,Black,0,9.405524647,0,0,0
10425,1985,Black,0,10.2772669,1,0,0
10425,1986,Black,0,11.6743082,0,1,0
10425,1987,Black,0,7.145190589,0,0,1
10469,1984,Black,0,3.764178243,0,0,0
10469,1985,Black,0,4.106029049,1,0,0
10469,1986,Black,0,5.094243231,0,1,0
10469,1987,Black,0,5.512003966,0,0,1
10524,1984,Hispanic,1,3.552325868,0,0,0
10524,1985,Hispanic,1,3.180547878,1,0,0
10524,1986,Hispanic,1,2.257676082,0,1,0
10524,1987,Hispanic,1,3.256353187,0,0,1
10552,1984,Hispanic,1,1.993120849,0,0,0
10552,1985,Hispanic,1,2.143001185,1,0,0
10552,1986,Hispanic,1,2.483443768,0,1,0
10552,1987,Hispanic,1,3.98089173,0,0,1
10553,1984,Hispanic,1,6.636500562,0,0,0
